count, author, comment, isLiked?
0,SOUMYA DIPTA BORAL,'Built in screen recorder' is one of the most handy features!!,False
1,Mrigesh Chandra,The question is how many people will actually receive this update.,False
2,Anupam Maity,The most useful features of Android 11 are -1. Security patch update from Google Play Store2. Screen recording (with audio),False
3,shady95,Who's still remember Jelly Beans floating on your screen?!,False
4,S H 0 U R Y A,Legends are still using Android Lollipop 😂😂,False
5,TudBoatTed,Android has become really nice and clean lately  I love it,False
6,Fahd Prabu Gaming,Google : launching android 11My mom phone: stuck in android 5.1.1LIKENYABANYAKCUKMANTAP,False
7,Heiden Lam,A guy who’s still using lame  lumpy Android 5 phones: Uhh excuse me wtf is this never heard of that,False
8,Luca Meleleo,Samsung already has every single one of these features...,False
9,Ijaz M,1:10 Anyone excited for OneUI 3.0!!!,False
10,Aloukik Attrey,Cries in Android 9,False
11,Edwin John,Everything they just announced had been in one ui 2.0+ ages ago   not very exciting 🤭,False
12,Calvin Karis,I'm here for the background music .,False
13,ROYAL RUBALCAVA,Lol I have android 6 and there are people crying with android 9😂😂,False
14,Patrick Ramos,My phone won't receive android 11 Custom Rom: let us introduce our self.,False
15,Ruvin,The auto reset of unused apps 💯,False
16,M W,why don't Google make the floating window that can be minimized into a bubble like what Samsung have done? Most stock Android users rarely use the floating window feature because Google always sucks at implementing feature correctly.,False
17,Iska Mag,best features in android 11:snake emojitrans rights,False
18,KhoPhi,Shouldn't be called Android 11. Just Android 10 September UpdateNothing here worthy of being a whole new release,False
19,_darkmessenger_,there are 3 types of Android hypers...1. Pure Android guys2. Samsung guys,False
20,Asad Shaikh,OneUI is one generation ahead of Stock Android.,False
21,Iustin_Theft-07,Watching this on android 4.4.4 kitkat  touchwiz version :D,False
22,ErrorGlitchNotFound,Android: Built in screen recorderMobizen: chuckles "I am in danger",False
23,Active PG3D,This is how much new features they added👇,False
24,N N,Wish every phones is like pixel phone  with android clean UI no bloatware.,False
25,Babur Absamatov,I noticed long time ago  that Google's new features almost always old ones at Samsung's UI,False
26,epictech429,I just got android 10 one ui 2.1 last month and now android 11LIFE SUCKS,False
27,Fathur Rahman,Hope they will release pixel phones in other countries like India  because this is so neat and clean! And with  3 years os update too,False
28,Juan Ignacio,Me in Android 6 : 👁👄👁,False
29,Raghav Kumar,Whatever changes u bring...Our brands will use their own UI😂😂,False
30,ferhattje,0:56That volume sliders animation was so clean.,False
31,RΛVΞL WG,Android : lunch android 11My phone : stuck in Android 8.1,False
32,heard of it,i regret buying a device with an android 9 last 2019😭😭😭,False
33,Leo Lobo,Who loves there android ! ~ ME! :-),False
34,Mr . E,I felt a strange feeling when I realized that this channel belongs to those who made the system that I own,False
35,knukx,wooow a whole update just catching up to ios im so impressed :eyeroll:,False
36,Ângelo Carvalho,Crl c: One Ui2.0 samsungCrl v: Android 11 So verdades,False
37,anas elbouziyani,Looks like there is not much to develop on android recentlyMost of this features were already implemented by apps or phones manufacturers before android 11android as an operating system is almost complete,False
38,Tandex,Kids: I still didn't got Android 10 at my Xiaomi!Bros: I didn't need these updates  all I need I have at Android 7Mens: I have Android 3 and I still like it,False
39,Nilanjan Dutta,Shame on Google for not providing updates learn from Apple,False
40,Xbox and Windows Gamer,3. Other brands,False
41,Austrin Ivander Fanly,that's 2,False
42,kryst punch,There is many things android is an almost resulting  system so they did what they could,False
43,Anas Gandhi,60% new features i think,False
44,Xbox and Windows Gamer,So it’s only a few bug fixes really?,False
45,Zekiz,You can resize it in android 11,False
46,M W,@Zekiz resized and minimized into bubble is clearly different. You should try use Samsung with One UI and will know how convenient to have that feature.,False
47,Quayledant,@M W yes  that feature's amazing  but I rarely use it. It's kinda like having a small windows computer in ur hand lol,False
48,M W,@Quayledant I use that for multitasking most of the time and I find it's better than multiwindow because it doesn't take half of the screen and it can be minimized/maximized quickly with just one tap.,False
49,Orange Cat - Kucing Oren,@M W yeah i have it on my rooted j2 prime. I can play 2 games simultaneously.,False
50,Tech Blaze,This feature is available in android 10 developer settings tooo,False
51,Abdul Muhaimin,I N D E E D,False
52,YouTube police,👙👙👙👙👙👙,False
53,FortydroidG,Breaking News: Facebook found crying in the background,False
54,LEGEND,My phone has it,False
55,newtón,Perfect,False
56,Lone Ranger,And one time permission👌,False
57,aRUnKA,Android overtook iOS in terms of security years ago  in many areas.But they are both improving privacy  all the time.,False
58,Spidy. exe,*Correction: The auto deletion of unused apps 👀 and Hoping no useless bloatware should be found in built,False
59,Journey to Alex,aRUnKA aRUnKA LOL Apple already introduced that privacy feature with iOS14. Android ist just copying. Most of these features I saw in the video habe been introduced by Apple this year or are long time features of Apple e.g. own screen recorder  integrated music player   controls  car media.... soo Android just copied them. The only feature fromthis that Apple doesn’t have is bubbles but I don’t think Apple users want that anyways. But it’s normal for companies to copy from each other. It makes them both the best they can be.,False
60,thesprucemoose,@Journey to Alex that's what apple users said about widgets until they copied android in ios 14.,False
61,Police of Memes,:),False
62,Ajinkya Londhe,I have 5.1,False
63,ahmed4363,I have 3,False
64,ROYAL RUBALCAVA,@ahmed4363 have a great day with 3😂,False
65,Abishek De Fonseka,Mee too lol,False
66,iKiwed,I still have in my mind the Android rebrand music. That was great.,False
67,Aktar Cubing,Can I use the background music in my video?,False
68,martin mystere,custom rom,False
69,Leandro,Me with android 11 beta: sTinks!,False
