count, author, comment, isLiked?
0,moustafa aldaou,90% of the 41 million massages are memes  i promise you,False
1,fightnight14,Lowkey showing the Pixel 5 but we wouldn't know because the front design would look exactly as the Pixel 4a,False
2,Aditya Unde,Android is way ahead of ios,False
3,TacoFingerss,I think I’ll switch to Android,False
4,Electron,Some features that aren't stolen  good old androidI'm looking at you apple,False
5,Tech Trends,I wish the Google messages would be as convenient as iMessage so that we use it instead of whatsapp,False
6,Matthew Reiter,Time for One Ui 3 announcement.,False
7,Sweet Blossoms,The question is  will my phone get it?,False
8,pritam,I have come a long way with android  I don't think I'll ever switch to any other OS...even if i am a millionaire...pixel all the way baby,False
9,someman7,0:11 "Phones are about communication and keeping in touch with loved ones." - Google 2020,False
10,Andrew Hector,I'm waiting for android 11!!,False
11,impe83,Took 11 iterations but finally they seems to have figured out notifications for chats ✌️ps. the boy is kinda cute 😚,False
12,David Dickerson,Sounds great. I look forward to it's possible release on my phone.,False
13,Elijah Ataklti,I want android 12 to be fluid on animation and add blurred background on notifications recent app app drawIt would be perfect,False
14,Max,Nice! Android auto now work wirelessly with Android 11 🤗💯,False
15,reddariyt,No chingues. Y a mí aún no me llega el android 10 :(,False
16,Shov Ki Creatiwitty,thats great!! waiting for 11,False
17,Ashish Ki Tips & Tricks,i want to stream my game on youtube with internal audio and game audio .. in apple we can do this but not in abdroid,False
18,Abdou Kara,No one gonna talk about how "bubble" look like a perfect replica of Messenger ?,False
19,Chae Yongsun,So on Samsung there will be one ui 3Ok freak...,False
20,Rami Zeid,1:18 Is that a Pixel 5 leak? : o,False
21,Nolan Hutwelker,lol I can't get the bubbles to work... help,False
22,Jyothish K Sasikumar,Battery draining problem 😭. Please fix the issue (Pixel 3A),False
23,posidon,you know what'd be great? Allowing 3rd party launchers to be recents providers,False
24,Dimas Hanif,Uh oh  a low key show off Pixel 5 there 🤦‍♂️,False
25,Milan,Well that smart home thing would have been great for the squeeze function,False
26,VATZPlayer,In Android 12 allow two or more  apps to use microfone at the same time and more microfone settings,False
27,Kaviyarasan R,Yeah Excellent 🔥,False
28,ahmad gadget,Woow ... 👍ahmad gadget,False
29,Gracz Komputerowy,CALL RECORDING please!!!,False
30,кing yυsυкє,I going to have a Android 11 or 10,False
31,Felix Stöber,nice - waiting for the pixel 4a to drop :(,False
32,Huron Toikiy,where 's the damn Double tap screen on/of????,False
33,Huron Toikiy,where 's the damn Double tap screen on/of????,False
34,coth,Still no desktop shell and window manager with respective API?,False
35,Vamshi Krishna Uplanchi,Please include a button in quick settings menu to alter device sleep time then and there just by clicking it.,False
36,Petra - wir uns kennenlernen,0:49 fenomenal,False
37,Leonardo Bruno,Ansioso para o Android 11 no meu moto g8 Power!,False
38,Tommy,Greetings from Minsk Belarus 🇧🇾🇧🇾🇧🇾🇧🇾🇧🇾🇧🇾🇧🇾,False
39,Pavan Mudhole,Can I call android 11 as  "Android R",False
40,Đức,I'm already upgraded to the released version of it,False
41,Алиса Барсук Панкратова,and I,False
42,Elektroxello,I'm waiting for android 10,False
43,PopCap Music,@Elektroxello My phone updated to android 10 a week ago. I didnt know android phones can do that,False
44,Ananya Gupta,Trope coming from the single biggest failure in connecting society 🙄,False
45,aRUnKA,@Ananya GuptaNonsense. Gmail  google search and the platform you're on: youtube  all come from google.Even if they generate less profit than the likes of Apple  google has succeeded in connecting the world and changed the way we share information.Look at the likes of android and Google's contribution to open-source.,False
