count, author, comment, isLiked?
0,WaveMusic,Question of the day: How is your day going today?,False
1,WaveMusic,Lyrics: BKAYE - Glue (Fells Remix)[Verse 1]Been a minute  hasn't it  yeahSince you left me messages  yeahAnd I made all those promises  didn't II don't remember all of it  yeahI was younger than I is  nowI only know that you had lost  your mind[Pre-Chorus]Now I hope you're doing betterNow that you got a new lifeAnd you don't need my loveYou don't need my love'Cause now you sent a letterAnd I start to fantasizeAm I better off?[Chorus]Should I have stuck it through  with youUs two  just like glue'Cause you hurt me badAnd then put me back with glueShould I have stuck it throughWith youUs twoJust like glue'Cause you hurt me badAnd then put me back with glue'Cause you hurt me bad[Verse 2]Every day got crazierYou were a psycho and a saviorI got stuff that I could say to you  but I don't'Cause I know you're unpredictableAnd I can't let you make me vulnerable  now'Cause I just learnt to put up my wallsAnd they're still low[Pre-Chorus]Now I hope you're doing betterNow that you got a new lifeAnd you don't need my loveYou don't need my love'Cause now you sent a letterAnd I start to fantasizeAm I better off?[Chorus]Should I have stuck it throughWith youUs twoJust like glue'Cause you hurt me badAnd then put me back with glueShould I have stuck it throughWith youUs twoJust like glue'Cause you hurt me badAnd then put me back with glue'Cause you hurt me bad[Bridge]Wish I knew if you're doing alrightSomeone's home when you come back at nightCause I couldn't stay and wait upYou were the one making it darkIf I come back will it stay light[Chorus]Should I have stuck it throughWith youUs twoJust like glue'Cause you hurt me badAnd then put me back with glueShould I have stuck it throughWith youUs twoJust like glue'Cause you hurt me badAnd then put me back with glue,False
2,Audio Library No Copyright Music - Free To Use,I'm glued with this music.. 👍💯,False
3,Bikash Nath,Wave music Never disappointed me 😍😘,False
4,Fells,Thank you everyone for listening 💙✨,False
5,Jesgarcia,Me encantan mucho las canciones que públicas  son perfección 👌♥✨,False
6,Captain Marvel,Notification Squad Always Waiting for New Upload ❤️❤️❤️,False
7,Blooming FlowVkookie,Wave music never fails to amuse me!!,False
8,nonoza manha,Does Wave ever disappoint,False
9,Rits Bhattacharjee,Awesome song wave music thanks for uploading this music it just make my day 💓,False
10,K,Tell me all the truth. I was truthful since the beginning but I'm hurt too. I'm a human too.,False
11,AAKASH MITBAUKAR,I wanna thank you coz whenever i am sad than I listen to your music and I really feel better bro thanks 🙏❤️ Love from India too💕,False
12,M2RUL,I LOVE SONG WAVE MUSIC,False
13,NNSABNH,Wave music always made my day 💗,False
14,TABREZ SHAIKH,Back after 2 years on this channel...just the same old feeling and the melody songs,False
15,Mridul Dubey,This song makes me go to bed and put it on repeat..😝😜,False
16,Giselle Adriana,This is the song I didn't thought I need but now I'm going to have it on repeat,False
17,Leigh Taylor,This is such a great sound and every aspect of it is just so well planned well  put together  well envisioned and thought of and the end result sounds so so so good. Music from the heart this. Loving the pure vibe feeling,False
18,Ziy,How it's fell when you in relationship??? I duno couse I duno ;-;  oof-,False
19,Neal Saikia,Wonderful song. Love from India. 🇮🇳,False
20,Undying Music,Wave music the best Vibes music ever🌊❤️❤️❤️,False
21,Ankit Dogra,Notification squad❤💯,False
22,Anouk,This sounds like glue to my ears😊💜,False
23,Anurag Pandey,Am glued to wave music 🖤❤️👍✌️,False
24,LAVINIA MARY A/P EBENAZER ARULRAJ Moe,OMG IM EARLYY!!!!@WaveMusic THANK YOU!!!!,False
25,Swastik Supakar,This song has a major problem..It ends....This song should have been minimum 4 minutes long to bless our ears,False
26,Febri 45,Beautifull song 😊 from INA 🇮🇩,False
27,phantira pipityakorn Manoban,never get bored listening to songs that have just been uploaded by you WAVEMUSIC,False
