count, author, comment, isLiked?
0,Newsthink,*NOTE: This is a revised and updated version of my previous Earth to Earth video  as I wanted to address the question of whether the Super Heavy booster will be needed for these trips. New info starts @2:20 in. Now the question is...would you take a trip to another city on Starship?!,False
1,Ian Guzman,If I had the money I'd go for a ride just to hear that SpaceX tech say: "Thanks for Flying SpaceX".,False
2,Summer Mkj,This channel is getting very less attention than it should. I would rate 10/10 for the content and storytelling .,False
3,Joshdude5570,Because the video was updated I am saying this again Elon Musk Is a game changer,False
4,inferiormartin,I never comment on YouTube but I just wanted to say how much I enjoy your videos. I'm glad to have another channel sharing the awesomeness that is space and science. What a fine addition to my collection. :lightsaber:,False
5,CatronPlayz,Is this a T.V show? Well it should be.Edit: I heard Virgin Galactic is also inventing a plane which flys at mach 3.,False
6,Rohan Naik,Cool new point in update .How can you make such smooth and very professional videos ?? Do you have a team?? Where you working in news channel before ?? What's you're story .. just curious ..Big fan of ur videos,False
7,Lenarton,I dont care if the ticket is even like 20 K im still going 100%,False
8,Emre16,Your channel is sooooo underrated its crazyyyy you deserve at least 10 million subs,False
9,Joshdude5570,Thank you for the update !,False
10,Matthew Bassler,Sounds good but I always thought the powers that be were working on a "space plane".,False
11,Caleb Reasons,Wait  I thought we were having a climate change problem? So why are we talking about the billionaires taking rockets from New York to Dubai?,False
12,TargiJoci,Still noone talking about the force that affect passengers' body during the flight. For example how can my grandma handle the G-s that affect her while astronauts prepare for the flight for months?,False
13,Chandrakant Nimbalkar,This is some quality content. Keep up the good work Cindy.,False
14,Valamas,Its silly to talk about technology  space using imperial units,False
15,mikegonsalves11,I'd do it in a heartbeat,False
16,robert gunkelman,30 minute trip sounds nice until you have to stand in security for an hour. Then boarding takes another hour if not more because it's a rocket. Then finally after you land  wait an hour for crews to get you out of the rocket and safely in the terminal again. And probably another hour waiting at baggage claim just find out your suitcase got to Tokyo just fine in 30 minutes.,False
17,Aly Mohamed Swillam,i love your videos please dont stop.,False
18,Navaneet Rahut,Ur videos are amazing  it looks like that they made by a team not a  single person.,False
19,x Reach The Stars x,First!,False
20,Teslinator TeeEeAy,💪,False
21,Welcome to Sri Lanka,From sri lanka 🌷,False
22,Perfect Student,You just played the same video again 😭😭😭😭😭,False
23,Anish Adamane [Free Thinker],When can I get daily videos ma'am?,False
24,arianna danica,omg I clicked so fast,False
25,taufu boy,i fast as f boi,False
26,Van Gomeo,Real talk the problem with concord planes (or any air craft that can go super sonic) is the sonic boom for the inhabitants below. That was the main reason the Concorde never took maintream commercial success. Can you imagine Rockets taking off every hour then...,False
27,Mike B,Well all my comments were in the last video  and nothing in this video really changes my thought on those comments so I'll leave them there :D,False
28,smelly user,If it is fast enough  I may use it to live in one country but commute to another every day for work   what would my nationality be after that?,False
29,Ivarrr,Cool. But what about emissions?🤔,False
30,cristian zhu,Its a diferent video ?,False
31,Redneck Boys,Yyeuseerrrrrr,False
32,Shenoi,Didn’t you post this video a week ago,False
33,Bjarne S.,If a StarShip would carry 1000 passengers every one would have a space of 1.1m³ assuming all of the volume would be used for crew,False
34,UnownB,Nice shed Cindy.,False
35,Ras,bla bla,False
36,Roldan Robert Lee,imagine If you have a diarrhea and have no facilities inside the spaceX's starship.,False
37,Nishan Rajbhandari,both videos are similiar ..... not a nice update,False
38,Mason 360,Im guessing that most of their audience is from the US. So it would make sense for them to use imperial.,False
39,Mike B,Damn straight  should be using measurements of light (e.g. light-minute  light-second) and solar units (solar-mass   solar luminosity  etc!)  none of these silly units the ants on the ground use.,False
40,Newsthink,Thank you Chandrakant :),False
